keyword,dfs_search_volume,dfs_cpc,dfs_competition,dfs_competition_level,gsc_impressions,gsc_clicks,gsc_ctr,gsc_avg_position,fetched_at
ranch security camera,30,4.22,HIGH,,,,,,2026-02-03T19:38:20.224078+00:00
ranch camera system,20,5.27,HIGH,,2.0,0.0,0.0,73.0,2026-02-03T19:38:20.224078+00:00
ranch eyes camera,10,,HIGH,,,,,,2026-02-03T19:38:20.224078+00:00
ranch camera,,,,,20.0,2.0,0.1,6.9,2026-02-03T19:38:20.224078+00:00
ranch cameras,,,,,29.0,0.0,0.0,25.724137931034484,2026-02-03T19:38:20.224078+00:00
security cameras for ranch,,,,,,,,,2026-02-03T19:38:20.224078+00:00
cellular ranch camera,,,,,,,,,2026-02-03T19:38:20.224078+00:00
4g ranch camera,,,,,,,,,2026-02-03T19:38:20.224078+00:00
lte ranch camera,,,,,,,,,2026-02-03T19:38:20.224078+00:00
solar ranch camera,,,,,,,,,2026-02-03T19:38:20.224078+00:00
off grid ranch camera,,,,,,,,,2026-02-03T19:38:20.224078+00:00
ranch gate camera,,,,,,,,,2026-02-03T19:38:20.224078+00:00
